Frame_ID,Emotion
test0.jpg,angry
test1.jpg,angry
test2.jpg,happy
test3.jpg,happy
test4.jpg,angry
test5.jpg,angry
test6.jpg,Unknown
test7.jpg,happy
test8.jpg,happy
test9.jpg,happy
test10.jpg,sad
test11.jpg,sad
test12.jpg,angry
test13.jpg,happy
test14.jpg,happy
test15.jpg,happy
test16.jpg,angry
test17.jpg,happy
test18.jpg,happy
test19.jpg,happy
test20.jpg,happy
test21.jpg,happy
test22.jpg,happy
test23.jpg,happy
test24.jpg,happy
test25.jpg,happy
test26.jpg,angry
test27.jpg,angry
test28.jpg,Unknown
test29.jpg,Unknown
test30.jpg,surprised
test31.jpg,Unknown
test32.jpg,surprised
test33.jpg,happy
test34.jpg,surprised
test35.jpg,Unknown
test36.jpg,sad
test37.jpg,sad
test38.jpg,surprised
test39.jpg,surprised
test40.jpg,surprised
test41.jpg,surprised
test42.jpg,surprised
test43.jpg,sad
test44.jpg,sad
test45.jpg,sad
test46.jpg,Unknown
test47.jpg,sad
test48.jpg,Unknown
test49.jpg,surprised
test50.jpg,surprised
test51.jpg,surprised
test52.jpg,angry
test53.jpg,angry
test54.jpg,angry
test55.jpg,angry
test56.jpg,happy
test57.jpg,Unknown
test58.jpg,Unknown
test59.jpg,Unknown
test60.jpg,Unknown
test61.jpg,Unknown
test62.jpg,angry
test63.jpg,Unknown
test64.jpg,Unknown
test65.jpg,Unknown
test66.jpg,angry
test67.jpg,Unknown
test68.jpg,angry
test69.jpg,angry
test70.jpg,sad
test71.jpg,Unknown
test72.jpg,happy
test73.jpg,Unknown
test74.jpg,Unknown
test75.jpg,happy
test76.jpg,happy
test77.jpg,Unknown
test78.jpg,happy
test79.jpg,Unknown
test80.jpg,Unknown
test81.jpg,happy
test82.jpg,happy
test83.jpg,angry
test84.jpg,happy
test85.jpg,happy
test86.jpg,angry
test87.jpg,happy
test88.jpg,happy
test89.jpg,happy
test90.jpg,happy
test91.jpg,sad
test92.jpg,angry
test93.jpg,surprised
test94.jpg,happy
test95.jpg,happy
test96.jpg,happy
test97.jpg,angry
test98.jpg,happy
test99.jpg,angry
test100.jpg,happy
test101.jpg,Unknown
test102.jpg,surprised
test103.jpg,Unknown
test104.jpg,happy
test105.jpg,happy
test106.jpg,Unknown
test107.jpg,happy
test108.jpg,Unknown
test109.jpg,happy
test110.jpg,happy
test111.jpg,happy
test112.jpg,happy
test113.jpg,happy
test114.jpg,Unknown
test115.jpg,Unknown
test116.jpg,happy
test117.jpg,happy
test118.jpg,Unknown
test119.jpg,Unknown
test120.jpg,sad
test121.jpg,angry
test122.jpg,Unknown
test123.jpg,Unknown
test124.jpg,happy
test125.jpg,happy
test126.jpg,happy
test127.jpg,happy
test128.jpg,happy
test129.jpg,angry
test130.jpg,sad
test131.jpg,Unknown
test132.jpg,Unknown
test133.jpg,happy
test134.jpg,Unknown
test135.jpg,happy
test136.jpg,Unknown
test137.jpg,Unknown
test138.jpg,Unknown
test139.jpg,Unknown
test140.jpg,happy
test141.jpg,happy
test142.jpg,happy
test143.jpg,happy
test144.jpg,Unknown
test145.jpg,Unknown
test146.jpg,happy
test147.jpg,happy
test148.jpg,Unknown
test149.jpg,angry
test150.jpg,angry
test151.jpg,surprised
test152.jpg,angry
test153.jpg,angry
test154.jpg,angry
test155.jpg,angry
test156.jpg,happy
test157.jpg,happy
test158.jpg,happy
test159.jpg,Unknown
test160.jpg,happy
test161.jpg,angry
test162.jpg,Unknown
test163.jpg,angry
test164.jpg,happy
test165.jpg,happy
test166.jpg,happy
test167.jpg,happy
test168.jpg,happy
test169.jpg,happy
test170.jpg,happy
test171.jpg,happy
test172.jpg,happy
test173.jpg,happy
test174.jpg,happy
test175.jpg,happy
test176.jpg,happy
test177.jpg,sad
test178.jpg,happy
test179.jpg,happy
test180.jpg,happy
test181.jpg,happy
test182.jpg,happy
test183.jpg,sad
test184.jpg,happy
test185.jpg,happy
